ranks,views,article,,,,,
1,164398248,Main Page,Main_Page,"""",Main_Page,""",","""Main_Page"","
2,24128196,Jeffrey Dahmer,Jeffrey_Dahmer,"""",Jeffrey_Dahmer,""",","""Jeffrey_Dahmer"","
3,8720692,Rishi Sunak,Rishi_Sunak,"""",Rishi_Sunak,""",","""Rishi_Sunak"","
4,6045953,-,-,"""",-,""",","""-"","
5,5896334,Cleopatra,Cleopatra,"""",Cleopatra,""",","""Cleopatra"","
6,5367653,House of the Dragon,House_of_the_Dragon,"""",House_of_the_Dragon,""",","""House_of_the_Dragon"","
7,5179193,Christopher Scarver,Christopher_Scarver,"""",Christopher_Scarver,""",","""Christopher_Scarver"","
8,5028753,Ponniyin Selvan: I,Ponniyin_Selvan:_I,"""",Ponniyin_Selvan:_I,""",","""Ponniyin_Selvan:_I"","
10,4283583,Black Adam (film),Black_Adam_(film),"""",Black_Adam_(film),""",","""Black_Adam_(film)"","
11,4029244,Kantara (film),Kantara_(film),"""",Kantara_(film),""",","""Kantara_(film)"","
12,4021192,YouTube,YouTube,"""",YouTube,""",","""YouTube"","
13,3922846,Deaths in 2022,Deaths_in_2022,"""",Deaths_in_2022,""",","""Deaths_in_2022"","
14,3807177,Marilyn Monroe,Marilyn_Monroe,"""",Marilyn_Monroe,""",","""Marilyn_Monroe"","
15,3425662,Liz Truss,Liz_Truss,"""",Liz_Truss,""",","""Liz_Truss"","
16,3321705,ICC Men's T20 World Cup,ICC_Men's_T20_World_Cup,"""",ICC_Men's_T20_World_Cup,""",","""ICC_Men's_T20_World_Cup"","
17,3007718,John Wayne Gacy,John_Wayne_Gacy,"""",John_Wayne_Gacy,""",","""John_Wayne_Gacy"","
18,2981920,Robbie Coltrane,Robbie_Coltrane,"""",Robbie_Coltrane,""",","""Robbie_Coltrane"","
19,2856377,The Lord of the Rings: The Rings of Power,The_Lord_of_the_Rings:_The_Rings_of_Power,"""",The_Lord_of_the_Rings:_The_Rings_of_Power,""",","""The_Lord_of_the_Rings:_The_Rings_of_Power"","
20,2716289,XXX: Return of Xander Cage,XXX:_Return_of_Xander_Cage,"""",XXX:_Return_of_Xander_Cage,""",","""XXX:_Return_of_Xander_Cage"","
21,2709091,2022 Russian invasion of Ukraine,2022_Russian_invasion_of_Ukraine,"""",2022_Russian_invasion_of_Ukraine,""",","""2022_Russian_invasion_of_Ukraine"","
22,2667039,2022 ICC Men's T20 World Cup,2022_ICC_Men's_T20_World_Cup,"""",2022_ICC_Men's_T20_World_Cup,""",","""2022_ICC_Men's_T20_World_Cup"","
23,2527674,Halloween,Halloween,"""",Halloween,""",","""Halloween"","
24,2481804,Leslie Jordan,Leslie_Jordan,"""",Leslie_Jordan,""",","""Leslie_Jordan"","
25,2473056,Halloween Ends,Halloween_Ends,"""",Halloween_Ends,""",","""Halloween_Ends"","
26,2350049,The Watcher (2022 TV series),The_Watcher_(2022_TV_series),"""",The_Watcher_(2022_TV_series),""",","""The_Watcher_(2022_TV_series)"","
27,2306602,Elon Musk,Elon_Musk,"""",Elon_Musk,""",","""Elon_Musk"","
28,2297343,Smile (2022 film),Smile_(2022_film),"""",Smile_(2022_film),""",","""Smile_(2022_film)"","
29,2236723,Akshata Murty,Akshata_Murty,"""",Akshata_Murty,""",","""Akshata_Murty"","
30,2227263,Angela Lansbury,Angela_Lansbury,"""",Angela_Lansbury,""",","""Angela_Lansbury"","
31,2125116,Kanye West,Kanye_West,"""",Kanye_West,""",","""Kanye_West"","
32,2115677,Empress Elisabeth of Austria,Empress_Elisabeth_of_Austria,"""",Empress_Elisabeth_of_Austria,""",","""Empress_Elisabeth_of_Austria"","
33,2099636,Erling Haaland,Erling_Haaland,"""",Erling_Haaland,""",","""Erling_Haaland"","
34,2092867,Evan Peters,Evan_Peters,"""",Evan_Peters,""",","""Evan_Peters"","
35,2055425,2022 FIFA World Cup,2022_FIFA_World_Cup,"""",2022_FIFA_World_Cup,""",","""2022_FIFA_World_Cup"","
36,2028898,XNXX,XNXX,"""",XNXX,""",","""XNXX"","
37,2007209,Diwali,Diwali,"""",Diwali,""",","""Diwali"","
38,1955217,2022 Brazilian general election,2022_Brazilian_general_election,"""",2022_Brazilian_general_election,""",","""2022_Brazilian_general_election"","
39,1918555,Charles Cullen,Charles_Cullen,"""",Charles_Cullen,""",","""Charles_Cullen"","
40,1914118,XXX (film series),XXX_(film_series),"""",XXX_(film_series),""",","""XXX_(film_series)"","
41,1887884,Bible,Bible,"""",Bible,""",","""Bible"","
43,1832854,Jerry Lee Lewis,Jerry_Lee_Lewis,"""",Jerry_Lee_Lewis,""",","""Jerry_Lee_Lewis"","
44,1816657,Elizabeth II,Elizabeth_II,"""",Elizabeth_II,""",","""Elizabeth_II"","
45,1788290,Premier League,Premier_League,"""",Premier_League,""",","""Premier_League"","
46,1766993,Black Adam,Black_Adam,"""",Black_Adam,""",","""Black_Adam"","
47,1764210,Wikipedia,Wikipedia,"""",Wikipedia,""",","""Wikipedia"","
48,1716073,Loretta Lynn,Loretta_Lynn,"""",Loretta_Lynn,""",","""Loretta_Lynn"","
49,1715746,Emma D'Arcy,Emma_D'Arcy,"""",Emma_D'Arcy,""",","""Emma_D'Arcy"","
50,1650173,Andor (TV series),Andor_(TV_series),"""",Andor_(TV_series),""",","""Andor_(TV_series)"","
51,1615663,Ansel Adams,Ansel_Adams,"""",Ansel_Adams,""",","""Ansel_Adams"","
52,1597529,Facebook,Facebook,"""",Facebook,""",","""Facebook"","
53,1560889,Michael J. Fox,Michael_J._Fox,"""",Michael_J._Fox,""",","""Michael_J._Fox"","
54,1512489,Dahmer – Monster: The Jeffrey Dahmer Story,Dahmer_–_Monster:_The_Jeffrey_Dahmer_Story,"""",Dahmer_–_Monster:_The_Jeffrey_Dahmer_Story,""",","""Dahmer_–_Monster:_The_Jeffrey_Dahmer_Story"","
55,1489804,Google,Google,"""",Google,""",","""Google"","
